0.0000    
0.0032   0.0600  
0.0064   0.0614  
0.0096   0.0732  
0.0128   0.0841  
0.0160   0.0947  
0.0192   0.1051  
0.0224   0.1148  
0.0256   0.1242  
0.0288   0.1334  
0.0320   0.1424  
0.0352   0.1510  
0.0384   0.1594  
0.0416   0.1679  
0.0448   0.1765  
0.0480   0.1848  
0.0512   0.1936  
0.0544   0.2025  
0.0576   0.2119  
0.0608   0.2218  
0.0640   0.2328  
0.0672   0.2452  
0.0704   0.2612  
0.0736   0.2865  
0.0768   0.3000  
0.0800   0.3000  
0.0832   0.3000  
0.0864   0.2864  
0.0896   0.2611  
0.0928   0.2451  
0.0960   0.2328  
0.0992   0.2218  
0.1024   0.2119  
0.1056   0.2025  
0.1088   0.1936  
0.1120   0.1848  
0.1152   0.1764  
0.1184   0.1679  
0.1216   0.1594  
0.1248   0.1509  
0.1280   0.1423  
0.1312   0.1334  
0.1344   0.1242  
0.1376   0.1147  
0.1408   0.1050 
0.1440   0.0947  
0.1472   0.0840  
0.1504   0.0732  
0.1536   0.0614  
0.1568   0.0600  
0.1600   0.0600
